environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
791830,0.2902203798294067,0.31574768,0.27008656,0.26852548,0.16926643,0.36309525,0.2572966,2.3399031162261963,11.830618858337402,18.42105263157895,0.94736844,0.0844210873157958,14.184186114616235,0.15344611,0.0642707959361568,1586,23.08079719543457
801830,-0.8149271607398987,0.32518798,0.25188786,0.2922306,0.2797048,0.31021303,0.25653684,2.0768380165100098,9.1876802444458,21.42105263157895,0.92763156,0.0920106903158021,13.94846073180491,0.21196058,0.0607693444895411,1606,20.00521469116211
811830,0.1662042289972305,0.27626052,0.16439554,0.2552054,0.19040936,0.42196545,0.25688016,2.47489595413208,9.649694442749023,19.94117647058824,0.9534314,0.093102553646986,13.47097353674491,0.14981085,0.0626727255782737,1626,18.96697998046875
821830,0.7022114992141724,0.3409664,0.2137439,0.32710087,0.21674575,0.25966385,0.2161967,2.3285956382751465,11.403550148010254,22.058823529411764,0.92773104,0.1030002828823158,12.822180177265873,0.20791484,0.0586308288587966,1646,21.402677536010746
831830,-0.1056783720850944,0.18400297,0.17636332,0.33928573,0.3006736,0.21264881,0.23470157,2.548083066940308,4.585968971252441,27.5625,0.7359375,0.117472001687588,15.956850997298934,0.40581408,0.0687388820426508,1666,9.383295059204102
842270,-0.0102694649249315,0.28983134,0.24628447,0.3528274,0.22198825,0.2948413,0.23065305,2.0588274002075195,8.697101593017578,20.25,0.9375,0.0838167895624337,10.256095748383007,0.24206147,0.0436120000211966,1687,17.41474151611328
852270,0.4545553624629974,0.22660714,0.20655204,0.39967263,0.26253802,0.31122023,0.20696579,2.3297078609466557,9.48817539215088,21.8125,0.9375,0.1013941545624845,15.034205790463291,0.24206147,0.0684557303515786,1707,18.06723976135254
862640,-0.0748698264360427,0.23503402,0.18565851,0.2272109,0.20074715,0.39489797,0.2836745,2.4362709522247314,6.59186315536499,26.857142857142858,0.85714287,0.1125422447857025,12.500612229904942,0.3499271,0.0527134087540271,1728,13.333465576171877
873060,-0.0170286428183317,0.2347364,0.1709377,0.3495323,0.20466477,0.29430273,0.14059445,2.294647216796875,7.5201311111450195,25.285714285714285,0.8785714,0.1071784168571606,14.53286212804116,0.23353975,0.062649732280496,1750,15.07431983947754
883060,-0.5137713551521301,0.3249433,0.2693925,0.13985261,0.16241975,0.39373586,0.29195872,2.2919204235076904,5.272703647613525,29.357142857142858,0.8585318,0.1264998974287274,16.795437913132172,0.275043,0.0738511814089896,1770,11.57295036315918
