entropy_coef,environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
0.1,100000,0.5487089157104492,0.06666667,0.13333336,0.17,0.25839245,0.08166667,0.13549292,4.908813953399658,11.485597610473633,44.6,0.31833336,0.1942977072999383,11.02905254316979,0.36120555,0.0486791324341606,200,21.873777389526367
0.1,110000,-1.5880194902420044,0.0,0.0,0.02,0.06,0.044999998,0.09069178,4.626402378082275,-0.3527157306671142,50.0,0.065,0.2015402115997858,0.0,0.100124925,6.992734885979394e-05,220,2.4706075191497803
0.1,120000,-0.2349350154399871,0.16428572,0.29822797,0.07,0.15524174,0.0,0.0,4.742289066314697,5.886676788330078,49.2,0.23428571,0.2181419976001052,2.4,0.30006653,0.0109816840889359,240,12.243223190307615
0.1,130000,-0.9087542295455932,0.16166666,0.17702009,0.075,0.16007811,0.04,0.12,4.617211818695068,5.307269096374512,47.5,0.2766667,0.2028210020999722,7.5,0.30112752,0.0318479415736926,260,12.432046890258787
0.1,140000,-0.3986341655254364,0.1852381,0.12873359,0.0,0.0,0.025,0.074999996,4.794000148773193,3.105161190032959,50.0,0.2102381,0.2185073220999584,0.0,0.11373404,3.7921453953963326e-05,280,7.007590770721436
0.1,150000,-0.9496707320213318,0.025,0.074999996,0.075,0.16007811,0.15,0.16583124,4.932285308837891,4.805015563964844,49.3,0.25,0.2038485590000164,2.1,0.2738613,0.0088703231902351,300,11.50937271118164
0.1,160000,-0.2106767147779464,0.10606062,0.17798999,0.05303031,0.11388861,0.20757578,0.26413223,4.839046478271484,11.991663932800291,41.90909090909091,0.36666667,0.1813892636363644,13.46682486337542,0.40420765,0.0584851637543753,320,24.404682159423828
0.1,170000,-1.395883083343506,0.060000002,0.12806249,0.0,0.0,0.056666665,0.086986594,4.778809547424316,0.5080810785293579,50.0,0.116666675,0.2129492740999012,0.0,0.13102162,8.588655548822975e-05,340,3.807928323745728
0.1,180000,0.1401194483041763,0.2138889,0.29137552,0.1279762,0.1931316,0.15,0.23629078,4.809198379516602,10.130925178527832,38.66666666666666,0.49186507,0.1621038689166501,16.898389140848767,0.3817433,0.0711431029753797,360,19.98161125183105
0.1,190000,-0.303670734167099,0.22857144,0.39486504,0.03666667,0.07371115,0.033333335,0.1,4.761084079742432,6.122453212738037,43.2,0.2985714,0.1840201131999492,13.607350954539244,0.3700098,0.0572687098905835,380,12.852248191833496
0.1,200000,-0.390724241733551,0.108333334,0.20429419,0.053333335,0.11075499,0.09047619,0.13875051,4.891485691070557,6.535627365112305,46.4,0.25214288,0.1932354081001904,10.8,0.2966488,0.0448613334598448,400,13.852703094482422
0.1,210000,-0.1257984340190887,0.13333334,0.2081666,0.120000005,0.16878653,0.06666667,0.15275253,4.886220455169678,8.225111961364746,43.3,0.32,0.1862599923999369,13.416780537819047,0.35969123,0.0587951353436842,420,16.701820373535156
0.1,220000,1.444428324699402,0.15150794,0.23722233,0.204127,0.15506393,0.22714286,0.3317517,4.68683385848999,17.368520736694336,38.3,0.5827778,0.1590915005001079,18.18818297686715,0.37078866,0.0756610881135199,440,31.84818458557129
0.1,230000,-1.008053421974182,0.061904766,0.124266565,0.025,0.074999996,0.06666667,0.2,4.612794876098633,3.4269189834594727,48.0,0.15357143,0.202831847500147,6.0,0.30137864,0.0252727186213126,460,8.86994457244873
0.1,240000,-0.1817995607852935,0.1,0.21343747,0.10095239,0.20073335,0.095238104,0.14599724,4.812544345855713,8.557960510253906,42.5,0.29619047,0.1861900524002521,15.200328943809078,0.38177174,0.0657365018151678,480,17.479520797729492
0.1,250000,-0.5870814919471741,0.21000001,0.22561029,0.1,0.2,0.13857143,0.18428572,4.852182388305664,9.435380935668944,42.5,0.44857138,0.1840758171001653,12.955693729013513,0.38333657,0.0569126844953419,500,20.044925689697266
0.1,260000,0.0845116004347801,0.22092353,0.28938386,0.11363637,0.20802319,0.13838384,0.23695429,4.66879415512085,7.826091289520264,41.45454545454545,0.47294375,0.1752526205455069,12.093301198775192,0.41625184,0.0518464838461659,520,15.483159065246582
0.1,270000,-0.2418999522924423,0.22857144,0.24782729,0.09761905,0.1691817,0.26000002,0.32856593,4.638224124908447,13.202634811401367,42.3,0.5861905,0.1777045916998759,13.733535597216031,0.3665504,0.0580871425298533,540,26.889068603515625
0.1,280000,-0.9139081239700316,0.02857143,0.085714296,0.14000002,0.22793762,0.15833333,0.30379543,4.793361663818359,8.23570728302002,46.5,0.32690474,0.1894641542001409,8.429116205154607,0.36695728,0.0344101325385999,560,18.299230575561523
0.1,290000,-0.4185427725315094,0.15577202,0.14987725,0.18787879,0.18313915,0.0989899,0.17248787,4.904145240783691,7.0809645652771,42.09090909090909,0.4426407,0.1892756924545954,13.433029479299728,0.36618492,0.0611474074219898,580,14.999014854431152
0.1,300000,-2.415194511413574,0.053333335,0.11075499,0.06944445,0.11735906,0.10888889,0.20377913,4.756521701812744,2.1777944564819336,48.3,0.23166665,0.2322719632999906,5.1,0.2877547,0.0254460602757378,600,9.185977935791016
0.1,310000,-1.1452761888504028,0.13190477,0.13555631,0.11261906,0.12132138,0.095238104,0.20865624,4.485331058502197,3.631949424743652,47.9,0.3397619,0.2056402393000098,6.300000000000001,0.23011643,0.0271543057361396,620,9.554450988769531
0.1,320000,0.3592776656150818,0.27222222,0.21304668,0.15611112,0.22377858,0.24023812,0.15786433,4.521782875061035,16.70850372314453,37.7,0.6685715,0.1568760698997721,14.731259280862584,0.3364157,0.0625192303459102,640,32.69845199584961
0.1,330000,0.1201962456107139,0.14642857,0.19849561,0.20142856,0.23025718,0.21000001,0.29732135,4.527731418609619,13.70518398284912,43.2,0.55785716,0.1955680862000917,12.147427711248172,0.3929539,0.0533983378934851,660,27.16997528076172
